iter	Passed	Remaining
0	1	1309
1	2	1203
2	3	1163
3	4	1143
4	5	1119
5	6	1098
6	7	1091
7	8	1088
8	9	1100
9	11	1100
10	12	1090
11	13	1081
12	14	1081
13	15	1081
14	16	1076
15	17	1075
16	18	1073
17	19	1069
18	20	1066
19	21	1058
20	22	1053
21	23	1044
22	24	1043
23	25	1051
24	27	1060
25	28	1069
26	29	1073
27	30	1069
28	32	1072
29	33	1069
30	34	1066
31	35	1065
32	36	1065
33	37	1063
34	38	1058
35	39	1061
36	40	1064
37	41	1058
38	43	1065
39	44	1066
40	45	1066
41	46	1067
42	47	1065
43	48	1063
44	50	1066
45	51	1065
46	52	1064
47	53	1063
48	54	1063
49	55	1061
50	56	1057
51	57	1053
52	58	1050
53	59	1046
54	60	1044
55	61	1040
56	62	1038
57	63	1036
58	64	1033
59	65	1031
60	66	1029
61	67	1026
62	68	1023
63	69	1021
64	70	1018
65	71	1016
66	72	1014
67	73	1011
68	74	1005
69	75	1003
70	76	998
71	77	996
72	78	993
73	79	991
74	80	989
75	81	986
76	82	984
77	83	985
78	84	984
79	85	981
80	86	979
81	87	977
82	88	975
83	89	971
84	90	970
85	91	968
86	92	966
87	92	963
88	94	962
89	94	960
90	95	958
91	96	956
92	98	956
93	98	952
94	99	951
95	100	950
96	101	948
97	102	947
98	104	947
99	104	943
100	106	944
101	107	942
102	108	941
103	109	940
104	110	939
105	111	940
106	112	939
107	113	938
108	114	937
109	115	934
110	116	930
111	117	929
112	118	927
113	119	925
114	120	924
115	121	922
116	122	921
117	123	920
118	124	918
119	125	917
120	126	915
121	127	915
122	128	914
123	129	914
124	130	913
125	131	909
126	132	908
127	133	906
128	134	906
129	135	906
130	136	905
131	137	903
132	138	902
133	139	901
134	140	900
135	141	898
136	142	897
137	143	896
138	144	894
139	145	893
140	146	892
141	147	890
142	148	889
143	149	887
144	150	886
145	151	885
146	152	884
147	153	882
148	154	881
149	155	878
150	156	877
151	157	877
152	158	876
153	159	874
154	160	873
155	161	872
156	162	871
157	163	870
158	164	869
159	165	869
160	166	868
161	167	867
162	168	866
163	169	865
164	170	863
165	171	862
166	172	861
167	173	860
168	174	859
169	175	858
170	176	856
171	177	855
172	178	854
173	179	853
174	180	852
175	181	849
176	182	848
177	182	845
178	183	843
179	184	842
180	186	842
181	187	842
182	188	841
183	189	840
184	190	838
185	191	837
186	192	836
187	193	836
188	194	835
189	195	833
190	196	831
191	197	829
192	198	828
193	199	827
194	200	826
195	201	825
196	202	825
197	203	825
198	204	824
199	205	822
200	206	822
201	207	821
202	209	820
203	210	819
204	211	819
205	212	818
206	213	818
207	214	817
208	215	817
209	216	816
210	218	815
211	219	814
212	220	813
213	221	812
214	222	811
215	223	810
216	224	810
217	225	809
218	226	809
219	228	808
220	229	808
221	230	807
222	231	807
223	232	806
224	233	805
225	234	804
226	235	802
227	236	801
228	237	800
229	238	799
230	239	798
231	240	797
232	241	796
233	242	794
234	243	793
235	244	792
236	245	791
237	246	790
238	247	789
239	249	788
240	249	787
241	250	786
242	251	784
243	252	783
244	253	782
245	254	781
246	255	780
247	256	778
248	257	777
249	258	776
250	260	775
251	261	776
252	263	777
253	264	776
254	265	776
255	266	775
256	268	775
257	269	774
258	270	774
259	271	773
260	272	772
261	274	772
262	275	771
263	276	770
264	277	769
265	278	769
266	280	768
267	281	768
268	282	767
269	283	767
270	285	767
271	286	767
272	287	766
273	288	765
274	290	764
275	291	763
276	292	762
277	293	762
278	294	761
279	295	760
280	296	759
281	298	758
282	299	757
283	300	757
284	301	756
285	302	755
286	303	754
287	304	753
288	306	752
289	307	752
290	308	751
291	309	750
292	310	749
293	311	748
294	312	747
295	313	746
296	314	744
297	315	743
298	317	743
299	317	741
300	319	741
301	320	740
302	321	739
303	322	738
304	323	737
305	324	736
306	325	735
307	326	734
308	327	733
309	328	731
310	329	730
311	330	729
312	331	728
313	332	727
314	334	726
315	334	725
316	335	723
317	337	722
318	337	721
319	338	720
320	339	718
321	340	717
322	341	716
323	342	715
324	343	714
325	344	712
326	345	711
327	346	710
328	347	709
329	348	708
330	349	707
331	350	706
332	351	704
333	352	703
334	353	702
335	354	701
336	355	700
337	356	698
338	357	697
339	358	696
340	359	694
341	360	693
342	361	691
343	362	690
344	363	689
345	364	688
346	365	687
347	366	686
348	367	685
349	368	684
350	369	683
351	370	681
352	371	680
353	372	679
354	373	678
355	374	676
356	375	675
357	376	675
358	377	674
359	378	673
360	379	672
361	380	671
362	381	670
363	382	668
364	383	667
365	384	666
366	385	665
367	386	664
368	387	663
369	388	662
370	389	660
371	390	659
372	392	658
373	393	658
374	394	657
375	395	656
376	396	655
377	397	654
378	398	653
379	400	652
380	401	652
381	402	651
382	403	650
383	404	649
384	406	648
385	407	647
386	408	646
387	409	645
388	410	644
389	411	644
390	412	643
391	413	641
392	414	640
393	415	639
394	416	638
395	417	637
396	418	636
397	420	635
398	421	634
399	422	633
400	422	631
401	423	630
402	424	629
403	425	628
404	426	627
405	427	626
406	428	624
407	429	623
408	430	622
409	431	621
410	432	620
411	433	619
412	434	618
413	435	616
414	436	615
415	437	614
416	438	613
417	439	612
418	440	611
419	441	610
420	442	608
421	443	607
422	444	606
423	445	605
424	446	604
425	447	603
426	448	602
427	449	600
428	450	599
429	451	598
430	452	597
431	453	596
432	454	595
433	455	593
434	456	592
435	457	591
436	458	590
437	459	589
438	460	587
439	461	586
440	462	585
441	463	584
442	464	583
443	465	582
444	466	581
445	467	580
446	468	579
447	469	578
448	470	577
449	471	576
450	472	574
451	473	573
452	474	572
453	475	571
454	476	570
455	477	569
456	478	568
457	479	567
458	480	565
459	481	564
460	482	563
461	482	562
462	483	561
463	484	560
464	485	559
465	486	557
466	487	556
467	488	555
468	489	554
469	490	553
470	491	552
471	492	551
472	493	550
473	494	549
474	496	548
475	497	547
476	498	546
477	499	545
478	500	544
479	501	543
480	502	541
481	503	540
482	504	539
483	505	538
484	506	537
485	507	536
486	508	535
487	509	534
488	510	533
489	511	532
490	512	531
491	513	530
492	514	528
493	515	527
494	516	526
495	517	525
496	518	524
497	519	523
498	520	522
499	521	521
500	522	520
501	523	519
502	524	518
503	525	516
504	526	515
505	527	514
506	528	513
507	529	512
508	530	511
509	531	510
510	532	509
511	533	508
512	534	507
513	535	506
514	536	505
515	537	504
516	538	502
517	539	501
518	540	500
519	541	499
520	542	498
521	543	497
522	544	496
523	545	495
524	546	494
525	547	493
526	548	492
527	549	491
528	550	490
529	551	488
530	552	488
531	553	487
532	555	486
533	556	485
534	557	484
535	558	483
536	559	482
537	560	481
538	561	480
539	562	478
540	563	478
541	564	477
542	566	476
543	567	475
544	568	474
545	569	473
546	570	472
547	571	471
548	572	470
549	573	469
550	574	468
551	575	467
552	576	465
553	577	464
554	578	464
555	579	463
556	581	462
557	582	461
558	583	460
559	584	459
560	586	458
561	587	457
562	588	456
563	589	455
564	590	454
565	592	454
566	593	453
567	594	452
568	595	451
569	596	450
570	597	449
571	599	448
572	600	447
573	601	446
574	602	445
575	603	444
576	605	443
577	606	442
578	607	441
579	608	440
580	609	439
581	610	438
582	612	437
583	613	436
584	614	435
585	615	434
586	616	433
587	617	432
588	618	431
589	620	430
590	621	430
591	622	429
592	623	428
593	625	427
594	626	426
595	627	425
596	628	424
597	629	423
598	630	422
599	631	421
600	632	420
601	633	419
602	634	417
603	635	416
604	637	416
605	638	415
606	639	414
607	640	413
608	641	411
609	642	410
610	643	409
611	644	408
612	645	407
613	646	406
614	647	405
615	649	404
616	650	403
617	651	402
618	652	401
619	653	400
620	654	399
621	655	398
622	657	397
623	658	396
624	659	395
625	660	394
626	662	393
627	663	392
628	664	391
629	665	390
630	666	389
631	667	388
632	669	387
633	670	386
634	671	385
635	672	384
636	673	383
637	674	382
638	675	381
639	676	380
640	678	379
641	679	378
642	680	377
643	681	376
644	683	375
645	684	374
646	685	373
647	686	372
648	687	371
649	688	370
650	689	369
651	690	368
652	691	367
653	692	366
654	694	365
655	695	364
656	696	363
657	697	362
658	698	361
659	699	360
660	700	359
661	701	358
662	702	357
663	703	356
664	704	355
665	706	354
666	707	353
667	708	352
668	709	351
669	710	350
670	711	348
671	712	347
672	713	346
673	715	345
674	716	344
675	717	343
676	718	342
677	719	341
678	721	340
679	722	339
680	724	339
681	725	338
682	726	337
683	728	336
684	729	335
685	730	334
686	731	333
687	732	332
688	733	331
689	734	330
690	736	329
691	737	328
692	738	327
693	739	326
694	740	325
695	741	324
696	743	323
697	744	321
698	745	320
699	745	319
700	747	318
701	748	317
702	749	316
703	750	315
704	751	314
705	753	313
706	754	312
707	756	311
708	757	310
709	758	309
710	759	308
711	760	307
712	761	306
713	762	305
714	763	304
715	764	303
716	765	302
717	767	301
718	768	300
719	769	299
720	770	298
721	771	297
722	773	296
723	774	295
724	775	294
725	776	293
726	777	292
727	779	291
728	780	290
729	781	289
730	782	288
731	784	287
732	785	286
733	786	284
734	787	283
735	788	282
736	790	281
737	791	280
738	792	279
739	793	278
740	794	277
741	796	276
742	797	275
743	798	274
744	799	273
745	800	272
746	801	271
747	803	270
748	804	269
749	805	268
750	806	267
751	807	266
752	808	265
753	810	264
754	811	263
755	812	262
756	813	261
757	814	259
758	815	258
759	816	257
760	818	256
761	819	255
762	820	254
763	821	253
764	822	252
765	823	251
766	824	250
767	826	249
768	827	248
769	828	247
770	830	246
771	831	245
772	832	244
773	833	243
774	835	242
775	836	241
776	837	240
777	838	239
778	839	238
779	841	237
780	842	236
781	843	235
782	844	234
783	845	233
784	847	231
785	848	230
786	849	229
787	850	228
788	851	227
789	853	226
790	854	225
791	855	224
792	856	223
793	857	222
794	858	221
795	859	220
796	860	219
797	862	218
798	863	217
799	864	216
800	865	215
801	866	213
802	867	212
803	869	211
804	870	210
805	871	209
806	872	208
807	873	207
808	874	206
809	875	205
810	876	204
811	878	203
812	879	202
813	880	201
814	881	200
815	882	199
816	883	197
817	884	196
818	886	195
819	887	194
820	888	193
821	889	192
822	890	191
823	891	190
824	892	189
825	893	188
826	894	187
827	896	186
828	897	185
829	898	184
830	899	182
831	900	181
832	901	180
833	903	179
834	904	178
835	905	177
836	906	176
837	908	175
838	909	174
839	910	173
840	911	172
841	913	171
842	914	170
843	915	169
844	916	168
845	917	167
846	919	166
847	920	165
848	921	163
849	923	162
850	924	161
851	925	160
852	926	159
853	928	158
854	929	157
855	930	156
856	931	155
857	933	154
858	934	153
859	935	152
860	936	151
861	938	150
862	939	149
863	941	148
864	942	147
865	943	146
866	944	144
867	946	143
868	947	142
869	948	141
870	949	140
871	950	139
872	951	138
873	952	137
874	954	136
875	956	135
876	957	134
877	958	133
878	960	132
879	961	131
880	962	129
881	963	128
882	965	127
883	966	126
884	967	125
885	968	124
886	969	123
887	970	122
888	971	121
889	972	120
890	973	119
891	975	118
892	976	116
893	977	115
894	978	114
895	979	113
896	981	112
897	982	111
898	983	110
899	984	109
900	985	108
901	987	107
902	988	106
903	989	105
904	990	103
905	991	102
906	992	101
907	993	100
908	994	99
909	996	98
910	997	97
911	998	96
912	999	95
913	1000	94
914	1002	93
915	1003	92
916	1004	90
917	1005	89
918	1006	88
919	1008	87
920	1009	86
921	1010	85
922	1011	84
923	1012	83
924	1014	82
925	1015	81
926	1016	80
927	1017	78
928	1018	77
929	1019	76
930	1021	75
931	1022	74
932	1023	73
933	1024	72
934	1025	71
935	1027	70
936	1028	69
937	1029	68
938	1030	66
939	1031	65
940	1032	64
941	1033	63
942	1034	62
943	1036	61
944	1037	60
945	1038	59
946	1039	58
947	1041	57
948	1042	56
949	1043	54
950	1044	53
951	1045	52
952	1046	51
953	1047	50
954	1049	49
955	1050	48
956	1051	47
957	1052	46
958	1053	45
959	1054	43
960	1056	42
961	1057	41
962	1058	40
963	1059	39
964	1060	38
965	1061	37
966	1062	36
967	1063	35
968	1064	34
969	1065	32
970	1066	31
971	1067	30
972	1068	29
973	1070	28
974	1071	27
975	1072	26
976	1073	25
977	1074	24
978	1075	23
979	1076	21
980	1078	20
981	1079	19
982	1080	18
983	1081	17
984	1082	16
985	1083	15
986	1084	14
987	1086	13
988	1087	12
989	1088	10
990	1089	9
991	1090	8
992	1091	7
993	1093	6
994	1094	5
995	1095	4
996	1096	3
997	1097	2
998	1099	1
999	1100	0
